Kraj_odlotu;Data;Przewoznik;Czy_przesiadka;Cena;Godzina_odlotu;Miejsce_odlotu;Godzina_przylotu;Miejsce_przylotu
Scotland; 15/05/19; Ryanair; 0; 4 zł; 21:30; Geneva GVA; 22:40; Edinburgh EDI
Scotland; 19/05/19; Ryanair; 1; 4 zł; 21:55; Glasgow GLA; 22:55; Dublin DUB
Scotland; 19/05/19; Ryanair; 1; 5 zł; 35 Du; lin DUB; 22:55; Dublin DUB FR5775
Scotland; 19/10/19; Ryanair; 1; 4 zł; 20:10; Bristol BRS; 07:40; Bristol BRS FR504
Scotland; 23/10/19; easyJet; 0; 5 zł; 21:55; Glasgow GLA; 23:05; Bristol BRS
Scotland; 14/05/19; Ryanair; 0; 4 zł; 08:05; Bristol BRS; 15:00; Glasgow GLA
Scotland; 22/05/19; Ryanair; 1; 2 zł; 40 Gl; sgow GLA; 15:00; Glasgow GLA FR5774
Scotland; 22/05/19; easyJet; 1; 4 zł; 08:40; Glasgow GLA; 16:00; Bristol BRS
Scotland; 08/05/19; easyJet; 1; 4 zł; 10 Br; stol BRS; 16:00; Bristol BRS FR506
Scotland; 16/05/19; Ryanair; 1; 4 zł; 05 Ed; nburgh EDI; 08:25; Glasgow GLA U2401
Scotland; 16/05/19; Ryanair; 1; 2 zł; 07:05; Edinburgh EDI; 09:55; Nantes NTE
Scotland; 08/10/19; easyJet; 1; 04 zł; 15:50; Nantes NTE; 22:10; Edinburgh EDI
Scotland; 14/10/19; easyJet; 1; 7 zł; 35 Ed; nburgh EDI; 22:10; Edinburgh EDI U2241
Scotland; 14/10/19; Ryanair; 1; 4 zł; 07:35; Edinburgh EDI; 17:25; Bordeaux BOD
Scotland; 30/04/19; easyJet; 1; 8 zł; 10 Bo; deaux BOD; 17:25; Bordeaux BOD U21764
Scotland; 08/05/19; easyJet; 1; 1 zł; 00 Ed; nburgh EDI; 08:25; Edinburgh EDI FR6655
Scotland; 08/05/19; Ryanair; 1; 4 zł; 07:00; Edinburgh EDI; 20:30; Faro FAO
Scotland; 05/10/19; Ryanair; 1; 5 zł; 45 Fa; o FAO; 20:30; Faro FAO FR9206
Scotland; 09/10/19; easyJet; 0; 5 zł; 55 Ed; nburgh EDI; 23:05; Edinburgh EDI FR6827
Scotland; 14/05/19; easyJet; 1; 5 zł; 05 Ni; e NCE; 21:35; Nice NCE U26959
Scotland; 14/05/19; Ryanair; 1; 4 zł; 22:05; Nice NCE; 23:45; Edinburgh EDI
Scotland; 21/05/19; Ryanair; 1; 5 zł; 20:50; Glasgow GLA; 22:05; London LTNLondon (Luton) LTN
Scotland; 04/06/19; Ryanair; 0; 4 zł; 12:45; London LTNLondon (Luton) LTN; 17:25; Glasgow GLA
Scotland; 12/06/19; Ryanair; 1; 5 zł; 40 Gl; sgow GLA; 17:25; Glasgow GLA U26816
Scotland; 12/06/19; easyJet; 1; 5 zł; 11:40; Glasgow GLA; 15:20; London LTNLondon (Luton) LTN
Scotland; 04/09/19; Ryanair; 1; 9 zł; 50 Lo; don LTNLondon (Luton) LTN; 15:20; London LTNLondon (Luton) LTN U22312
Scotland; 11/09/19; Ryanair; 0; 1 zł; 00 Ed; nburgh EDI; 10:10; Glasgow GLA U267
Scotland; 09/05/19; easyJet; 1; 4 zł; 30 Br; stol BRS; 20:15; Bristol BRS U2430
Scotland; 09/05/19; Ryanair; 1; 4 zł; 09:30; Bristol BRS; 17:00; Edinburgh EDI
Scotland; 15/05/19; easyJet; 1; 8 zł; 50 Ed; nburgh EDI; 17:00; Edinburgh EDI FR7835
Scotland; 28/04/19; Ryanair; 0; 4 zł; 12:10; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 05/05/19; easyJet; 1; 4 zł; 10:05; Genova GOA; 15:10; Edinburgh EDI
Scotland; 05/05/19; Ryanair; 1; 4 zł; 13:55; London LTNLondon (Luton) LTN; 11:15; London LTNLondon (Luton) LTN U22466
Scotland; 02/05/19; Ryanair; 1; 7 zł; 20:15; Edinburgh EDI; 23:50; Milan MXPMilan (Malpensa) MXP
Scotland; 08/05/19; easyJet; 1; 4 zł; 10:55; Milan MXPMilan (Malpensa) MXP; 20:30; Edinburgh EDI
Scotland; 08/05/19; easyJet; 1; 14 zł; 19:15; London LTNLondon (Luton) LTN; 11:55; London LTNLondon (Luton) LTN U22284
Scotland; 08/10/19; easyJet; 1; 5 zł; 13:35; Edinburgh EDI; 20:15; Zadar ZAD
Scotland; 13/10/19; easyJet; 1; 4 zł; 30 Za; ar ZAD; 20:15; Zadar ZAD FR1963
Scotland; 13/10/19; easyJet; 1; 0 zł; 10:30; Zadar ZAD; 15:10; Edinburgh EDI
Scotland; 05/05/19; easyJet; 1; 5 zł; 05 Ed; nburgh EDI; 15:10; Edinburgh EDI U215
Scotland; 09/05/19; easyJet; 1; 0 zł; 35 Ma; rid MAD; 10:05; Madrid MAD U26993
Scotland; 09/05/19; easyJet; 1; 14 zł; 16:35; Madrid MAD; 18:30; Edinburgh EDI
Scotland; 01/05/19; easyJet; 1; 5 zł; 06:30; Glasgow GLA; 21:15; London STNLondon (Stansted) STN
Scotland; 05/05/19; Ryanair; 1; 4 zł; 30 Lo; don STNLondon (Stansted) STN; 21:15; London STNLondon (Stansted) STN FR1165
Scotland; 05/05/19; Ryanair; 1; 4 zł; 17:30; London STNLondon (Stansted) STN; 18:45; Glasgow GLA
Scotland; 01/05/19; Ryanair; 1; 9 zł; 17:55; Glasgow GLA; 22:10; Malaga AGP
Scotland; 05/05/19; Ryanair; 1; 4 zł; 00:50; Malaga AGP; 10:10; Glasgow GLA
Scotland; 05/05/19; easyJet; 1; 5 zł; 08:50; London LTNLondon (Luton) LTN; 02:35; London LTNLondon (Luton) LTN U22412
Scotland; 26/04/19; easyJet; 1; 5 zł; 18:00; Edinburgh EDI; 20:50; Paris CDGParis (Charles de Gaulle) CDG
Scotland; 01/05/19; easyJet; 1; 5 zł; 21:20; Paris CDGParis (Charles de Gaulle) CDG; 22:05; Edinburgh EDI
Scotland; 01/05/19; easyJet; 1; 4 zł; 30 Ed; nburgh EDI; 22:05; Edinburgh EDI U26958
Scotland; 21/05/19; easyJet; 1; 5 zł; 20:45; Dusseldorf NRNDusseldorf (Weeze) NRN; 14:10; Dusseldorf NRNDusseldorf (Weeze) NRN FR6242
Scotland; 28/05/19; Ryanair; 1; 4 zł; 11:10; Pisa PSA; 21:55; Edinburgh EDI
Scotland; 28/05/19; Ryanair; 1; 4 zł; 20:45; Bristol BRS; 12:30; Bristol BRS U26190
Scotland; 01/05/19; easyJet; 1; 2 zł; 06:00; Glasgow GLA; 09:15; Geneva GVA
Scotland; 05/05/19; easyJet; 1; 5 zł; 06:00; Geneva GVA; 13:10; Glasgow GLA
Scotland; 05/05/19; easyJet; 1; 14 zł; 11:00; Split SPU; 07:35; Split SPU U21317
Scotland; 14/05/19; easyJet; 1; 1 zł; 09:45; Edinburgh EDI; 12:55; Berlin TXLBerlin (Tegel) TXL
Scotland; 22/05/19; easyJet; 1; 5 zł; 07:25; Berlin TXLBerlin (Tegel) TXL; 18:05; Edinburgh EDI
Scotland; 22/05/19; Ryanair; 1; 9 zł; 17:15; Luxembourg LUX; 08:55; Luxembourg LUX FR42
Scotland; 24/04/19; easyJet; 1; 4 zł; 11:10; Edinburgh EDI; 12:50; Jersey JER
Scotland; 02/05/19; Ryanair; 1; 8 zł; 14:15; Jersey JER; 20:35; Edinburgh EDI
Scotland; 02/05/19; easyJet; 1; 7 zł; 19:20; London LTNLondon (Luton) LTN; 15:20; London LTNLondon (Luton) LTN U22312
Scotland; 15/05/19; easyJet; 1; 5 zł; 19:55; Edinburgh EDI; 23:15; Faro FAO
Scotland; 22/05/19; easyJet; 1; 19 zł; 10:00; Faro FAO; 17:35; Edinburgh EDI
Scotland; 22/05/19; easyJet; 1; 2 zł; 16:20; London LTNLondon (Luton) LTN; 12:55; London LTNLondon (Luton) LTN U22016
