Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
5; France; Bordeaux BOD; 07:25; Nantes NTE
20/05/19; Ryanair; 0; 12.99; 20:20; France; Rodez RDZ; 21:55; Brussels CRLBrussels (Charleroi) CRL
27/05/19; Ryanair; 0; 12.99; 18:25; France; Brussels CRLBrussels (Charleroi) CRL; 19:55; Rodez RDZ
02/05/19; Ryanair; 0; 12.99; 13:55; France; Biarritz BIQ; 15:40; Brussels CRLBrussels (Charleroi) CRL
09/05/19; Ryanair; 0; 12.99; 11:50; France; Brussels CRLBrussels (Charleroi) CRL; 13:30; Biarritz BIQ
13/05/19; Ryanair; 0; 12.99; 14:15; France; Bordeaux BOD; 16:05; Bologna BLQ
20/05/19; Ryanair; 0; 12.99; 11:55; France; Bologna BLQ; 13:50; Bordeaux BOD
14/05/19; Ryanair; 0; 12.99; 06:05; France; Marseille MRS; 07:40; Nantes NTE
21/05/19; Ryanair; 0; 12.99; 08:05; France; Nantes NTE; 09:50; Marseille MRS
06/05/19; Ryanair; 0; 12.99; 12:10; France; Bergerac EGC; 13:40; Brussels CRLBrussels (Charleroi) CRL
10/05/19; Ryanair; 0; 12.99; 14:05; France; Brussels CRLBrussels (Charleroi) CRL; 15:35; Bergerac EGC
16/05/19; Ryanair; 0; 12.99; 19:20; France; Marseille MRS; 21:05; Brussels CRLBrussels (Charleroi) CRL
23/05/19; Ryanair; 0; 12.99; 07:15; France; Brussels CRLBrussels (Charleroi) CRL; 08:55; Marseille MRS
09/05/19; Ryanair; 0; 12.99; 08:35; France; Paris BVAParis (Beauvais) BVA; 10:10; Milan BGYMilan (Bergamo) BGY
14/05/19; Ryanair; 0; 12.99; 06:30; France; Milan BGYMilan (Bergamo) BGY; 08:10; Paris BVAParis (Beauvais) BVA
16/05/19; Ryanair; 0; 12.99; 13:20; France; Toulouse TLS; 15:00; Brussels CRLBrussels (Charleroi) CRL
21/05/19; Ryanair; 0; 12.99; 11:20; France; Brussels CRLBrussels (Charleroi) CRL; 12:55; Toulouse TLS
