Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Kraj_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
15/05/19; Ryanair; 0; 9.99; 10:40; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 12:45; Barcelona REUBarcelona (Reus) REU
22/05/19; Ryanair; 0; 9.99; 13:10; Germany; Barcelona REUBarcelona (Reus) REU; 15:25; Frankfurt HHNFrankfurt (Hahn) HHN
03/05/19; Laudamotion; 0; 9.99; 05:55; Germany; Stuttgart STR; 07:20; Marseille MRS
10/05/19; Laudamotion; 0; 9.99; 07:50; Germany; Marseille MRS; 09:15; Stuttgart STR
09/05/19; Ryanair; 0; 9.99; 11:50; Germany; Cologne CGNCologne-Bonn CGN; 13:20; Venice TSFVenice (Treviso) TSF
14/05/19; Ryanair; 0; 9.99; 13:55; Germany; Venice TSFVenice (Treviso) TSF; 15:30; Cologne CGNCologne-Bonn CGN
04/05/19; Laudamotion; 0; 9.99; 06:50; Germany; Stuttgart STR; 08:10; Pula PUY
09/05/19; Laudamotion; 0; 9.99; 12:25; Germany; Pula PUY; 13:45; Stuttgart STR
23/05/19; Laudamotion; 0; 9.99; 19:35; Germany; Stuttgart STR; 21:00; Nice NCE
28/05/19; Laudamotion; 0; 9.99; 21:05; Germany; Nice NCE; 22:30; Stuttgart STR
05/05/19; Laudamotion; 0; 9.99; 15:35; Germany; Munich MUC; 17:45; Palma Mall PMI
09/05/19; Laudamotion; 0; 9.99; 18:20; Germany; Palma Mall PMI; 20:25; Munich MUC
25/05/19; Laudamotion; 0; 9.99; 21:45; Germany; Stuttgart STR; 23:00; Vienna VIE
29/05/19; Laudamotion; 0; 9.99; 06:45; Germany; Vienna VIE; 08:00; Stuttgart STR
21/05/19; Ryanair; 0; 9.99; 06:00; Germany; Memmingen FMM; 07:25; Banja Luka BNX
25/05/19; Ryanair; 0; 9.99; 20:50; Germany; Banja Luka BNX; 22:15; Memmingen FMM
16/05/19; Ryanair; 0; 9.99; 20:45; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 22:40; Pisa PSA
23/05/19; Ryanair; 0; 9.99; 18:25; Germany; Pisa PSA; 20:20; Dusseldorf NRNDusseldorf (Weeze) NRN
01/05/19; Ryanair; 0; 9.99; 07:20; Germany; Nuernberg NUE; 08:50; Pisa PSA
08/05/19; Ryanair; 0; 9.99; 09:15; Germany; Pisa PSA; 10:45; Nuernberg NUE
24/05/19; Ryanair; 0; 9.99; 12:20; Germany; Nuernberg NUE; 13:35; Milan BGYMilan (Bergamo) BGY
31/05/19; Ryanair; 0; 9.99; 10:40; Germany; Milan BGYMilan (Bergamo) BGY; 11:55; Nuernberg NUE
02/05/19; Ryanair; 0; 10.00; 17:20; Germany; Cologne CGNCologne-Bonn CGN; 18:35; Berlin SXFBerlin (Schonefeld) SXF
08/05/19; Ryanair; 0; 10.00; 19:00; Germany; Berlin SXFBerlin (Schonefeld) SXF; 20:15; Cologne CGNCologne-Bonn CGN
08/05/19; Ryanair; 0; 10.00; 19:00; Germany; Berlin SXFBerlin (Schonefeld) SXF; 20:15; Cologne CGNCologne-Bonn CGN
14/05/19; Ryanair; 0; 10.00; 17:40; Germany; Cologne CGNCologne-Bonn CGN; 18:55; Berlin SXFBerlin (Schonefeld) SXF
22/05/19; Ryanair; 0; 9.99; 11:00; Germany; Memmingen FMM; 13:05; Fez FEZ
29/05/19; Ryanair; 0; 10.08; 05:30; Germany; Fez FEZ; 10:35; Memmingen FMM
22/05/19; Ryanair; 0; 9.99; 08:00; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 09:05; Tangier TNG
29/05/19; Ryanair; 0; 10.08; 09:30; Germany; Tangier TNG; 14:35; Dusseldorf NRNDusseldorf (Weeze) NRN
09/05/19; Ryanair; 0; 9.99; 19:35; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 20:55; Fez FEZ
16/05/19; Ryanair; 0; 10.08; 14:50; Germany; Fez FEZ; 19:10; Dusseldorf NRNDusseldorf (Weeze) NRN
22/05/19; Ryanair; 0; 9.99; 07:00; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 08:15; Oujda OUD
29/05/19; Ryanair; 0; 10.08; 08:40; Germany; Oujda OUD; 13:50; Dusseldorf NRNDusseldorf (Weeze) NRN
06/05/19; Ryanair; 0; 9.99; 15:15; Germany; Hamburg HAM; 16:40; Oslo TRFOslo (Torp) TRF
